// Reference=MNI			
//24814646-1			
// Subjects=20	
-49.45	2.91	54.27
-57.01	11.5	6	
35.17	-26.2	49.1	
55.18	-17.26	37.27	
-9.29	10.5	69.05	
22.44	0.06	66.25	
-30.43	-1.54	47.8	
-21.95	-0.79	58.8	
47.75	3.59	51.43	
28.76	-0.37	58.47	
-59.1	13.14	15.89	
-54.84	9.38	22.78	
61.24	33.43	2.69	
-9.28	-13.39	40.72	
11.84	-8.87	42.5	
-65.3	-23.68	18.45	
-54.7	-20.41	35.92	
-36.66	-30.87	52.07	
-32.35	-41.51	67.2	
69.91	-17.57	12.79	
28.95	-44.01	69.23	
41.57	-34.99	59.66	
-23.89	-50.32	59.98	
18.41	-74.36	40.29	
22.68	-81.27	47.4	
14.1	-37.53	56.66	
43.65	-74.75	-4.23	
-21.69	-87.23	42.52	
-15.36	-89.89	32.67	
-13.34	-77.16	16.25	
22.68	-84.9	39.88	
14.11	-70.43	18.96	
-0.7	-81.5	-4.61	
-9.1	-90.55	3.83	
-17.65	-75.6	-9.36	
-19.74	-75.15	-1.61	
24.62	-70.58	-2.18	
28.88	-81.18	-3.7	
24.62	-63.73	6.23	
-58.9	-47.28	11.14	
65.74	-33.29	15	
63.62	-37.07	5.29	
57.35	-57.15	5.59	
-3.01	-32.21	-9.08	
3.37	-35.75	1.11	
1.1	9.61	1.35

//24814646-2			
// Subjects=20			
-49.47	3.56	47.56	
-11.42	16.78	68.63	
-21.94	1.92	68.6	
1.25	5.3	51.58	
-2.96	7.98	61.42	
-38.87	3.47	61.93	
-45.22	3.02	55.34	
-26.2	10.09	64.74	
49.84	6.49	46.78	
24.52	6.11	61.38	
-9.28	-13.46	39.61	
-30.3	-31.53	57.62	
65.73	-26.79	17.89	
39.45	-32.78	61.74	
-30.22	-42.27	71.68	
26.86	-55.01	62.22	
-49.42	-29.58	23.2	
-23.88	-52.55	57.91	
-11.25	-39.71	59.18	
52.16	-81.29	8.38	
-13.24	-91.77	36.12	
-23.81	-85.29	40.18	
-11.28	-81.72	-6.76	
-51.49	-49.12	14.56	
-56.8	-42.99	11.95	
59.41	-37.82	10.91	
-47.19	-70.36	11.55	
52.12	-65.2	12.83	
-0.9	-27.85	-7.18	
-7.24	-33.43	-11.2	
11.8	-31.74	-3.65

//24814646-3			
// Subjects=20			
-17.72	8.6	73.67	
-11.42	16.92	70.84	
-22.29	57.64	13.73	
-26.24	8.09	49.34	
-40.83	-35.28	66.82	
-28.13	-35.88	72.34	
31.08	-43.59	75.85	
20.52	-48.02	73.99	
37.39	-39.61	71.1	
-25.99	-46.57	69.73	
-63.12	-35.59	30.35	
-65.19	-38.02	42.73	
-63.06	-46.88	35.56	
-49.31	-71.64	8.32	
61.62	-69.72	6.42	
52.15	-80.38	6.1	
-25.98	-75.07	35.05	
-23.81	-87.39	40.32	
-15.34	-96.2	33.11	
-45.2	-56.01	-12.76	
45.6	-39.83	-19.95	
-52.81	10.92	-3.98	
-49.35	-55.47	13.87	
61.54	-37.33	18.63	
65.78	-46.24	10.34	
39.36	-63.84	-14.94	
5.57	-81.74	-26.83

//24814646-4			
// Subjects=20			
20.39	-59.23	11.5	
-54.57	-75.68	11.95	
-49.29	-81.56	1.23	
-6.96	-94.46	8.52	
-6.91	-96.67	24.21	
3.58	-94.85	0.72	
-40.97	-58.21	-14.85	
41.45	-57.39	-13.17	
28.79	-57.15	-7.56	
63.68	-48.22	12.71	
59.51	-67.51	8.5	
61.6	-68.1	-1.46	
-13.47	-51.51	4.51	
11.85	-44.22	-0.58

//24814646-5			
// Subjects=20			
-49.3	-79.39	2.19	
-15.34	-93.96	35.17	
-21.69	-87.37	40.31	
31.12	-89.64	30.16	
33.22	-80.74	37.31	
41.45	-57.39	-13.17	
54.19	-54.74	10.99	
-49.28	-73.26	16.2	
59.51	-67.37	10.71	
59.51	-72.18	1.05	
39.38	-67.91	-12.44

//24814646-6			
// Subjects=20			
-47.34	2.93	54.25	
-9.29	12.74	71.12	
-36.78	-0.54	47.77	
-47.37	3.3	43.13	
49.86	5.84	53.48	
47.73	4.23	44.73	
22.41	8.32	63.46	
